Name,North/South,East/West,Gender,Units,Tenants per Unit,Bed,Bath,Contracts,,Year Private,Year Shared,FW Private,FW Shared,FW/Year Dep,FW/Year Non Ref,SS Private,SS Shared,SS Dep,SS Non-Ref,,
Academy Arms Apts,469,100,M,15,4,2,2,FW SpSu,,,,,295,295,25,,,,,,
Allred Apts,700,150,W,16,4,2,1,Yr SpSu,,,,,,$280.00 ,$96.00 ,,$150.00 ,$200.00 ,$24.00 ,,
Alpine Village,1378,-200,M W,167,4,4,2,Yr FW,,$437.00 ,$385.00 ,$546.00 ,$385.00 ,$250.00 ,$100.00 ,,,,,,
Alta Apts University  ,1850,0,M W,46,6,3,2,Yr,,,$280.00 ,,,$280.00 ,$84.00 ,,,,,,
Applewood Apts,535,400,W,10,4,2,1,Yr,,,$349.00 ,,,$698.00 ,$105.00 ,,,,,,
Arcadia Apts,450,1065,M W,16,5,3,1,Yr FW SpSu,,,$255.00 ,$410.00 ,$335.00 ,$150.00 ,$100.00 ,$250.00 ,$125.00 ,$150.00 ,$100.00 ,,
Bay Terrace ,400,139,M,9,6,3,2,Yr,,,$275.00 ,,,$300.00 ,$150.00 ,,,,,,
Belmont 141 ,363,1250,W,1,3,3,2,Yr,,$430.00 ,,,,$500.00 ,$120.00 ,,,,,,
Belmont 270,509,1250,W,1,3,3,3,Yr,,$405.00 ,,,,$500.00 ,$120.00 ,,,,,,
Belmont,600,195,M W,21,6,3,2,FW SpSu,,,,,$305.00 ,,$78.00 ,,$110.00 ,$200.00 ,$26.00 ,,
Belmont Condominiums  ,331,1250,W,1,3,3,2,Yr FW SpSu F W Sp Su,,$400.00 ,,$400.00 ,,$400.00 ,,$400.00 ,,$400.00 ,,,
Belmont Condos,454,1250,M W,1,3,3,2,Yr,,$390.00 ,,,,$390.00 ,$100.00 ,,,,,,
Belmont Condos,454,1250,M W,1,3,3,2,Yr,,$400.00 ,,,,$400.00 ,$100.00 ,,,,,,
Belmont Condos,454,1250,M W,1,3,3,2,Yr,,$465.00 ,,,,$465.00 ,$100.00 ,,,,,,
Ben Dick Arms 16/26,700,141,W,2,3,2,1,Yr FW SpSu,,,,$385.00 ,$350.00 ,,$64.00 ,$285.00 ,$250.00 ,$250.00 ,$32.00 ,,
Ben Dick Arms 15,700,161,W,3,3,2,1,Yr FW SpSu,,,,$385.00 ,$350.00 ,,$64.00 ,$285.00 ,$250.00 ,$250.00 ,$32.00 ,,
Ben Dick Arms ,700,161,W,1,3,2,1,Yr,,$350.00 ,$300.00 ,,,$325.00 ,$100.00 ,,,,,,
Berkshire,400,41,M,10,4,2,1,Yr,,,$289.00 ,,,$578.00 ,$105.00 ,,,,,,
Blueridge,450,1060,W,47,4,2,2,Yr FW SpSu,,,$325.00 ,,$415.00 ,$150.00 ,$100.00 ,,$150.00 ,$150.00 ,$100.00 ,,
The Branbury,1720,-449,M W,305,4,4,2,Yr SpSu,,$374.00 ,$299.00 ,,,$100.00 ,,$249.00 ,$199.00 ,$100.00 ,,,
Brittany Apts,500,243,M W,44,4,2,1,Yr FW SpSu Sp Su,,,$325.00 ,,$420.00 ,$250.00 ,$40.00 ,,$180.00 ,$250.00 ,$20.00 ,,
Brookview,442,400,M W,20,6,3,1.5,Yr,,,$270.00 ,,,$300.00 ,$150.00 ,,,,,,
Campus Edge Apts,1305,150,M,28,4,2,1,Yr,,,$325.00 ,,,$275.00 ,$125.00 ,,,,,,
Campus Villa,960,-182,M,8,5,2.5,1.5,Yr,,,$255.00 ,,,$500.00 ,,,,,,,
Campus Way Apts ,580,100,M W,24,6,3,2,Yr,,,$345.00 ,,,$275.00 ,$125.00 ,,,,,,
Canterwood Condos,935,0,M,1,3,3,2,Yr,,$385.00 ,,,,,,,,,,,
Carriage Cove Apts ,1720,-606,M W,120,4,4,2,Yr FW SpSu,,$375.00 ,,,,$250.00 ,$85.00 ,$225.00 ,,$250.00 ,$85.00 ,,
Casa Dea Apts ,660,200,M W,18,3.5,2,1,Yr,,$395.00 ,$355.00 ,,,$350.00 ,$85.00 ,,,,,,
Centennial Apts  ,380,1020,M W,78,6,3,2,Yr FW SpSu,,,$290.00 ,,$390.00 ,$150.00 ,$100.00 ,,$140.00 ,$150.00 ,$100.00 ,,
Centennial II Apts ,450,1000,M W,16,6,3,1,Yr FW SpSu,,,$250.00 ,,$330.00 ,$150.00 ,$100.00 ,,$120.00 ,$150.00 ,$100.00 ,,
Center Pointe Apts ,562,200,M,18,4,2,1,Yr,,,$315.00 ,,,$275.00 ,$125.00 ,,,,,,
Chatham Towne  ,956,900,W,1,4,2,2,FW SpSu,,,,,$385.00 ,,$64.00 ,,$285.00 ,$250.00 ,$32.00 ,,
Chatsworth 665  ,665,100,M,1,4,3,2.5,Yr,,$405.00 ,$375.00 ,,,$500.00 ,$120.00 ,,,,,,
Chatsworth 695  ,695,100,W,1,4,2,2.5,Yr,,,$375.00 ,,,$500.00 ,$120.00 ,,,,,,
Cinnamon Tree Apts  ,1285,-200,M W,64,5,2.5,1,Yr FW SpSu Sp Su,,,$290.00 ,,$372.50 ,$250.00 ,$40.00 ,,$172.50 ,$250.00 ,$20.00 ,,
CollegePlace Provo  ,743,900,W,72,5,5,3,Yr,,$489.00 ,,,,$250.00 ,$100.00 ,,,,,,
CollegePlace Woodland,880,-36,M W,28,4,4,2,Yr,,$449.00 ,,,,$150.00 ,$100.00 ,,,,,,
Colony Apts  ,750,401,M W,60,5,2.5,1.5,Yr FW SpSu Sp Su,,,$300.00 ,,$355+,$250.00 ,$60.00 ,,$190.00 ,$250.00 ,$30.00 ,,
Colony Houses  ,496,700,M W,6,5,3,1.5,Yr FW SpSu Sp Su,,$285.00 ,$265.00 ,,$295+,$250.00 ,$60.00 ,$185.00 ,$165.00 ,$250.00 ,$30.00 ,,
Connections Apts down ,778,600,W,1,6,3,2,Yr FW SpSu,,,,,$365.00 ,,$64.00 ,,$245.00 ,$350.00 ,$32.00 ,,
Connections Apts up  ,776,600,W,1,6,3,2,Yr FW SpSu,,,,,$385.00 ,,$64.00 ,,$265.00 ,$350.00 ,$32.00 ,,
Crestwood,1800,,M W,99,4,4,2,Yr FW SpSu,,$349.00 ,,,,$175.00 ,$50.00 ,$199.00 ,,$175.00 ,$50.00 ,,
Crown Aptsorth,600,455,W,12,6,3,2,Yr FW SpSu Sp Su,,,$330.00 ,,$440.00 ,$250.00 ,$20.00 ,,$175.00 ,$250.00 ,$20.00 ,,
East Cambridge Court ,750,765,W,1,4,2,2,Yr,,,$325.00 ,,,$325.00 ,$100.00 ,,,,,,
East Pointe Apts ,274,500,M W,23,3.5,2,1,Yr,,$375.00 ,$275.00 ,,,$275.00 ,$125.00 ,,,,,,
Fairfax House,691,900,M,2,3.5,2.5,1,Yr,,$425.00 ,$399.00 ,,,$350.00 ,$85.00 ,,,,,,
Fleur-de-Lis Apts  ,275,300,W,15,4,4,2,Yr FW,,$389.00 ,,,,$500.00 ,$75.00 ,,,,,,
Foxwood Apts  ,835,-100,M W,16,5,3,1,Yr,,$350.00 ,$300.00 ,,,$500.00 ,$120.00 ,,,,,,
Foxwood Condos,880,-38,M W,16,5,2.5,2,Yr,,,$400.00 ,,,$500.00 ,$120.00 ,,,,,,
Foxwood Houses,800,-68,M W,5,3,2.5,1,Yr,,$380.00 ,$307.50 ,,,$500.00 ,$120.00 ,,,,,,
"Horman Duplex, up  ",600,557,W,1,4,2,1,Yr FW SpSu,,,,,$355.00 ,,$64.00 ,,$255.00 ,$250.00 ,$32.00 ,,
"Horman Duplex, up, down",600,546,W,2,6,6,2,Yr FW SpSu,,,,,$355.00 ,,$64.00 ,,$255.00 ,$250.00 ,$32.00 ,,
"Horman Duplex, up, down",600,534,W,2,3.5,4,2,Yr FW SpSu,,,,$360.00 ,$350.00 ,,$64.00 ,$260.00 ,$250.00 ,$250.00 ,$32.00 ,,
"Jarman Place, down  ",752,600,M,1,5,3,2,Yr FW SpSu,,,,$385.00 ,,,$64.00 ,$285.00 ,,$350.00 ,$32.00 ,,
"Jarman Place, up  ",750,600,M,1,4,2,1,Yr FW SpSu,,,,$395.00 ,$375.00 ,,$64.00 ,$295.00 ,$275.00 ,$350.00 ,$32.00 ,,
Kensington Condo 1 ,750,788,M,1,4,2,2,FW SpSu,,,,,$385.00 ,,$64.00 ,,$275.00 ,$250.00 ,$32.00 ,,
Kimball Apts ,659,300,W,2,2,2,1,Yr FW SpSu,,,$285.00 ,,$380.00 ,$250.00 ,$40.00 ,,$175.00 ,$250.00 ,$20.00 ,,
Kimball Apts  ,659,300,M,2,5,3,1,Yr FW SpSu,,$340.00 ,$270.00 ,$439.00 ,$362.00 ,$250.00 ,$40.00 ,$215.00 ,$170.00 ,$250.00 ,$20.00 ,,
King Henry Apts  ,450,1130,M W,126,5,3,1.5,Yr SpSu,,,$279.00 ,,,$250.00 ,$120.00 ,$289.00 ,$129.00 ,$250.00 ,$40.00 ,,
La Costa Condos,420,621,M,9,4,4,2,Yr,,,,,,$918.00 ,$105.00 ,,,,,,
Larkspur House,675,900,M,2,3,2,1,Yr,,,$375.00 ,,,$350.00 ,$85.00 ,,,,,,
Liberty on Eighth ,745,100,M W,58,6,3,2,Yr,,,$443.00 ,,,$275.00 ,$100.00 ,,,,,,
Liberty on Freedom  ,865,-160,M W,124,4,2,1,Yr SpSu,,,$330.00 ,,,$275.00 ,$100.00 ,,$150.00 ,$275.00 ,$100.00 ,,
Liberty Square Apts ,556,400,M W,810,4,2,2,Yr,,,$402.50 ,,,$275.00 ,$100.00 ,,,,,,
Linford 1-6  ,700,391,W,6,3,2,1,Yr FW SpSu,,,,$395.00 ,$365.00 ,,$64.00 ,$245.00 ,$225.00 ,$250.00 ,$32.00 ,,
The Lodges at Glenwood,1565,0,M W,196,6,3,2,Yr SpSu,,,$294.00 ,,,$150.00 ,$100.00 ,,$244.00 ,$150.00 ,$100.00 ,,
Manavu ,585,400,M,12,4,2,2,Yr,,,$375.00 ,,,$500.00 ,$120.00 ,,,,,,
Marin House,442,500,M,2,3,3,1,Yr,,$425.00 ,,,,$350.00 ,$85.00 ,,,,,,
Moon Apts  ,680,300,M W,42,4,2,1,Yr FW SpSu,,,$299.00 ,,$399.00 ,$698.00 ,$100.00 ,,$149.00 ,$298.00 ,$100.00 ,,
Moutainwood 218,700,-62,W,1,4,3,2,Yr,,$410.00 ,$370.00 ,,,$500.00 ,$120.00 ,,,,,,
Normas Apts ,700,569,W,4,4,2,2,Yr,,,$320.00 ,,,$320.00 ,$75.00 ,,,,,,
Park Plaza Apts  ,910,900,M,43,4,2,1,Yr,,,$325.00 ,,,$150.00 ,$150.00 ,,,,,,
Raintree Commons,1849,-200,M W,154,6,3,2,Yr SpSu,,,$309.00 ,,,$150.00 ,$100.00 ,,$259.00 ,$150.00 ,$100.00 ,,
Riverside,1525,-550,M,1,3,3,2.5,Yr,,$430.00 ,,,,$400.00 ,$96.00 ,,,,,,
Riverside 20,1541,-550,W,1,3,3,2,Yr,,$380.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riverside 43,1525,-550,M,1,3,3,2,Yr,,$365.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riverside 48,1525,-550,W,1,3,3,2,Yr,,$380.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riviera Apts  ,1505,150,M W,137,4,2,2,Yr,,,$359.00 ,,,$150.00 ,$100.00 ,,,,,,
Santa Fe Aptsast,802,700,M,8,4,2,2,Yr,,,$355.00 ,,,$710.00 ,$105.00 ,,,,,,
Sherwood House,631,300,W,2,4,2,1,Yr SpSu,,,$292.50 ,,,$500.00 ,$120.00 ,,,,,,
SingleTree ,820,832,W,12,4,3,2,Yr,,$370.00 ,$340.00 ,,,$355.00 ,$75.00 ,,,,,,
Sleepy Hollow House,700,274,M,2,3,2.5,1,Yr,,$425.00 ,$399.00 ,,,$150.00 ,$85.00 ,,,,,,
South Downs Condo 4 ,677,700,W,1,4,4,2,FW SpSu,,,,$395.00 ,,,$64.00 ,$295.00 ,,$250.00 ,$32.00 ,,
Sparks II Apts ,450,999,M W,37,5,2.5,1,Yr FW SpSu Sp Su,,,$305.00 ,,$395.00 ,$250.00 ,$40.00 ,,$172.50 ,$250.00 ,$20.00 ,,
Spyglas,737,600,M W,18,4,4,2,Yr,,$445.00 ,,,,$445.00 ,$75.00 ,,,,,,
Stadium Avenue House ,431,431,W,1,4,4,1,Yr SpSu,,,,$295.00 ,,,,$130.00 ,,,,,
Stonebridge 111  ,100,758,W,1,3,3,2,Yr,,$405.00 ,,,,$500.00 ,$120.00 ,,,,,,
Stonebridge 310,820,763,W,1,3,3,2,Yr,,$405.00 ,,,,$500.00 ,$120.00 ,,,,,,
Summer Pointe Apts  ,620,-100,M,12,4,2,1,Yr,,,$290.00 ,,,$275.00 ,$125.00 ,,,,,,
The Taj  ,300,276,M,1,3,2,1,Yr,,$329.00 ,$289.00 ,,,$340.00 ,$75.00 ,,,,,,
Taylor House,245,300,W,1,5,5,2,Yr FW SpSu,,$400.00 ,,$400.00 ,,$200.00 ,,$400.00 ,,$200.00 ,,,
"Timpanogos Gateway, rm A",1969,150,M W,57,3,3,2,Yr,,$380.00 ,,,,$380.00 ,$100.00 ,,,,,,
"Timpanogos Gateway, rm B, C",1969,150,M W,57,3,3,2,Yr,,$410.00 ,,,,$410.00 ,$100.00 ,,,,,,
Trident Spring Tree 57 W ,700,-57,M,6,3,3,2,Yr SpSu,,$345.00 ,,,,$150.00 ,$100.00 ,$299.00 ,,$150.00 ,$100.00 ,,
Trident Winfield,356,200,M,12,4,2,1,Yr SpSu,,,$310.00 ,,,$150.00 ,$100.00 ,,$199.00 ,$150.00 ,$100.00 ,,
University Avenue Condo ,567,0,M,1,4,4,2,Yr,,$410.00 ,,,,$500.00 ,$120.00 ,,,,,,
University Avenue Condos 567,591,0,M W,2,4,4,2,Yr,,$410.00 ,,,,$500.00 ,$120.00 ,,,,,,
Villa ,700,531,W,1,6,4,2,Yr,,$335.00 ,$235.00 ,,,$200.00 ,$50.00 ,$285.00 ,$185.00 ,$200.00 ,$50.00 ,,
Village at South Campus ,600,602,M W,236,4,4,2,Yr,,$440.00 ,,,,$250.00 ,$100.00 ,,,,,,
Windsor Park ,1230,-142,M W,2,3,3,2,Yr,,$410.00 ,,,,$410.00 ,$100.00 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
